Date,Ticker,Name,Price_Open,Price_Close,Price_Avg,EPS,PE_Ratio
2024-09-19,XOM,Exxon Mobil Corporation,112.10654580853036,111.9521255493164,112.02933567892339,7.04,15.91325790893798
2024-09-20,XOM,Exxon Mobil Corporation,111.4309613169955,111.24758911132812,111.33927521416182,7.04,15.815237956557077
2024-09-23,XOM,Exxon Mobil Corporation,111.30550275691313,113.26466369628906,112.2850832266011,7.04,15.949585685596748
2024-09-24,XOM,Exxon Mobil Corporation,113.72790301332533,112.9654769897461,113.3466900015357,7.04,16.10038210249087
2024-09-25,XOM,Exxon Mobil Corporation,112.42502615816714,110.76504516601562,111.59503566209139,7.04,15.851567565637982
2024-09-26,XOM,Exxon Mobil Corporation,107.26170787041671,108.86378479003906,108.0627463302279,7.04,15.349821921907372
2024-09-27,XOM,Exxon Mobil Corporation,109.79029129821198,111.77840423583984,110.7843477670259,7.04,15.736413035088907
2024-09-30,XOM,Exxon Mobil Corporation,111.430961190741,113.12954711914062,112.28025415494082,7.04,15.94889973791773
2024-10-01,XOM,Exxon Mobil Corporation,111.99073142561775,115.74498748779297,113.86785945670536,7.04,16.174411854645648
2024-10-02,XOM,Exxon Mobil Corporation,117.67519927249403,117.27950286865234,117.47735107057318,7.04,16.687123731615507
2024-10-03,XOM,Exxon Mobil Corporation,117.64624934542087,118.30252075195312,117.974385048687,7.04,16.75772514896122
2024-10-04,XOM,Exxon Mobil Corporation,118.90087394309084,120.4739990234375,119.68743648326418,7.04,17.001056318645478
2024-10-07,XOM,Exxon Mobil Corporation,120.87934014228026,120.99515533447266,120.93724773837646,7.04,17.17858632647393
2024-10-08,XOM,Exxon Mobil Corporation,119.55714559863593,117.78135681152344,118.66925120507969,7.04,16.856427727994273
2024-10-09,XOM,Exxon Mobil Corporation,116.68113575223002,117.82960510253906,117.25537042738455,7.04,16.65559239025349
2024-10-10,XOM,Exxon Mobil Corporation,118.86227801582126,118.84297180175781,118.85262490878954,7.04,16.88247512908942
2024-10-11,XOM,Exxon Mobil Corporation,118.80436445932189,119.29656982421875,119.05046714177033,7.04,16.910577719001466
2024-10-14,XOM,Exxon Mobil Corporation,118.93948381747835,119.75017547607422,119.34482964677628,7.04,16.952390574826175
2024-10-15,XOM,Exxon Mobil Corporation,116.6039222412852,116.15032196044922,116.37712210086721,7.04,16.530841207509546
2024-10-16,XOM,Exxon Mobil Corporation,116.67148621524368,116.44951629638672,116.5605012558152,7.04,16.556889382928293
2024-10-17,XOM,Exxon Mobil Corporation,116.54601832906368,116.15032196044922,116.34817014475645,7.04,16.526728713743815
2024-10-18,XOM,Exxon Mobil Corporation,116.23718454705299,115.82218933105469,116.02968693905385,7.04,16.481489622024693
2024-10-21,XOM,Exxon Mobil Corporation,116.75834312346753,115.8897476196289,116.32404537154821,7.04,16.52330189936764
2024-10-22,XOM,Exxon Mobil Corporation,116.06347241861116,116.48811340332031,116.27579291096573,7.04,16.51644785667127
2024-10-23,XOM,Exxon Mobil Corporation,115.78358556189525,116.07311248779297,115.92834902484411,7.04,16.467095031938083
2024-10-24,XOM,Exxon Mobil Corporation,115.81254362069295,115.4168472290039,115.61469542484843,7.04,16.42254196375688
2024-10-25,XOM,Exxon Mobil Corporation,116.0055663787577,115.32034301757812,115.66295469816791,7.04,16.429396974171578
2024-10-28,XOM,Exxon Mobil Corporation,112.71455962641966,114.75093078613281,113.73274520627623,7.04,16.155219489527873
2024-10-29,XOM,Exxon Mobil Corporation,114.44209301492683,113.18745422363281,113.81477361927982,7.04,16.16687125273861
2024-10-30,XOM,Exxon Mobil Corporation,113.55419449814421,112.6180419921875,113.08611824516586,7.04,16.063369068915605
2024-10-31,XOM,Exxon Mobil Corporation,113.06200161923624,112.70491027832031,112.88345594877828,7.04,16.034581810906005
2024-11-01,XOM,Exxon Mobil Corporation,115.74498247910995,110.93875885009766,113.3418706646038,7.04,16.09969753758577
2024-11-04,XOM,Exxon Mobil Corporation,112.01968011032476,114.4710464477539,113.24536327903934,7.04,16.08598910213627
2024-11-05,XOM,Exxon Mobil Corporation,114.92464545179243,114.80883026123047,114.86673785651145,7.04,16.316297990981738
2024-11-06,XOM,Exxon Mobil Corporation,116.92241607890041,116.77764892578125,116.85003250234084,7.04,16.598015980446142
2024-11-07,XOM,Exxon Mobil Corporation,117.06718384088381,116.92241668701172,116.99480026394777,7.04,16.618579582947127
2024-11-08,XOM,Exxon Mobil Corporation,116.75834338945656,116.88380432128906,116.82107385537282,7.04,16.59390253627455
