date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,ret_pct,ret_log,gap_open_prevclose,spread_hl,spread_co,sma_10,ema_10,wma_10,sma_20,ema_20,wma_20,sma_50,ema_50,wma_50,sma_100,ema_100,wma_100,sma_200,ema_200,wma_200,macd,macd_signal,macd_hist,rsi_14,stoch_k_14,stoch_d_3,williams_r_14,bb_upper_20,bb_mid_20,bb_lower_20,bbp_20,atr_14,hv_20,obv,cmf_20,vwap_20,ticker,symbol
2008-01-01,24.725482940673828,24.725482940673828,24.725482940673828,24.725482940673828,0,0.0,0.0,0.0,,,,,0.0,,24.725482940673828,,,24.725482940673828,,,24.725482940673828,,,24.725482940673828,,,24.725482940673828,,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,,,EXSA.DE,EXSA.DE
2008-01-02,24.65070343017578,24.65070343017578,24.65070343017578,24.65070343017578,0,0.0,0.0,0.0,-0.0030243902890580987,-0.003028972999638224,-0.00302439028905815,0.0,0.0,,24.711886666037817,,,24.718361082531157,,,24.722550410850374,,,24.72400215828773,,,24.724738865942506,,-0.00596531707676462,-0.0011930634153529242,-0.004772253661411696,0.0,,,,,,,,0.005341393607003348,,0.0,,,EXSA.DE,EXSA.DE
2008-01-03,24.174814224243164,24.174814224243164,24.174814224243164,24.174814224243164,0,0.0,0.0,0.0,-0.0193052992293139,-0.01949408011565712,-0.019305299229313864,0.0,0.0,,24.61423713116606,,,24.66659471507516,,,24.701070560395188,,,24.713127149692788,,,24.719266978960423,,-0.04853368942410441,-0.010661188617103223,-0.037872500807001185,0.0,,,,,,,,0.038951951630261474,,0.0,,,EXSA.DE,EXSA.DE
2008-01-06,24.12723159790039,24.12723159790039,24.12723159790039,24.12723159790039,0,0.0,0.0,0.0,-0.001968272678391725,-0.001970212272577765,-0.001968272678391724,0.0,0.0,,24.5256906705723,,,24.615226799153753,,,24.6785670716699,,,24.701525257578087,,,24.713376079646395,,-0.08512765288684321,-0.025554481471051223,-0.059573171415791985,0.0,,,,,,,,0.039568428395440905,,0.0,,,EXSA.DE,EXSA.DE
2008-01-07,24.26998519897461,24.26998519897461,24.26998519897461,24.26998519897461,0,0.0,0.0,0.0,0.005916700409451137,0.0058992654753029505,0.005916700409451099,0.0,0.0,,24.479198766645442,,,24.58234664675574,,,24.66254425313283,,,24.69297990988297,,,24.708964230087474,,-0.10144026972623976,-0.040731639122088936,-0.060708630604150826,9.944605828241023,,,,,,,,0.04693879787249647,,0.0,,,EXSA.DE,EXSA.DE
2008-01-08,23.957273483276367,23.957273483276367,23.957273483276367,23.957273483276367,0,0.0,0.0,0.0,-0.012884709781835979,-0.012968437638588348,-0.012884709781835963,0.0,0.0,,24.38430326057834,,,24.522815869281516,,,24.634886575883556,,,24.678411465791747,,,24.70148472016896,,-0.13801045944555312,-0.06018740318678178,-0.07782305625877134,8.054916608287073,,,,,,,,0.0659225777171926,,0.0,,,EXSA.DE,EXSA.DE
2008-01-09,23.72612762451172,23.72612762451172,23.72612762451172,23.72612762451172,0,0.0,0.0,0.0,-0.00964825396036828,-0.00969509992732398,-0.009648253960368332,0.0,0.0,,24.26463496311168,,,24.44694079835106,,,24.599248969947407,,,24.659554360023826,,,24.69177967444103,,-0.18352853460350005,-0.08485562947012544,-0.09867290513337461,6.996598107830948,,,,,,,,0.07772424064915373,,0.0,,,EXSA.DE,EXSA.DE
2008-01-10,23.610563278198242,23.610563278198242,23.610563278198242,23.610563278198242,0,0.0,0.0,0.0,-0.004870763073620443,-0.0048826638998766825,-0.004870763073620399,0.0,0.0,,24.145712838581964,,,24.367285796431744,,,24.560476982035677,,,24.638782259393615,,,24.681021302339115,,-0.2263181591812753,-0.11314813541235542,-0.11317002376891987,6.5343450060839245,,,,,,,,0.08042710533946251,,0.0,,,EXSA.DE,EXSA.DE
2008-01-13,23.685340881347656,23.685340881347656,23.685340881347656,23.685340881347656,0,0.0,0.0,0.0,0.0031671249121982825,0.0031621201364759877,0.0031671249121982175,0.0,0.0,,24.062008846357543,,,24.302338661661828,,,24.526157919263596,,,24.619902232105574,,,24.671114034468555,,-0.2512985045772247,-0.14077820924532927,-0.11052029533189542,10.64801516973462,,,,,,,,0.08002356946874477,,0.0,,,EXSA.DE,EXSA.DE
2008-01-14,23.087081909179688,23.087081909179688,23.087081909179688,23.087081909179688,0,0.0,0.0,0.0,-0.025258617773962544,-0.025583092167963617,-0.02525861777396251,0.0,0.0,24.001460456848143,23.884749403234295,23.766547497836026,,24.186599923330196,,,24.469723565926973,,,24.589549354423873,,,24.65535252078409,,-0.31573056208799954,-0.17576867981386335,-0.1399618822741362,7.7203726802915895,,,,,,,,0.11704038394726077,,0.0,,,EXSA.DE,EXSA.DE
