date,revenue,net_income,operating_income,gross_profit,assets,equity,assets_current,liabilities_current,cash,debt_current,debt_noncurrent,shares,ebitda,operating_cashflow,free_cashflow,capex,current_ratio,gross_margin,operating_margin,profit_margin,roe,roa,price,market_cap,enterprise_value,eps,book_ps,revenue_ps,pe_ratio,pb_ratio,ps_ratio,ev_to_revenue,ev_to_ebitda,Ticker
2007-12-31,,,,,,,,,33981000000.0,,,,,,,,,,,,,,49.621795654296875,,,,,,,,,,,XOM
2008-06-30,,11680000000.0,,,,,,,38968000000.0,,,,,34838000000.0,25987000000.0,8851000000.0,,,,,,,47.087913513183594,,,,,,,,,,,XOM
2008-09-30,,14830000000.0,,,,,,,36674000000.0,,,,,49241000000.0,35248000000.0,13993000000.0,,,,,,,41.705745697021484,,,,,,,,,,,XOM
2008-12-31,,,,,228052000000.0,112965000000.0,72266000000.0,49100000000.0,31437000000.0,2400000000.0,,,,,,,1.4718126272912424,,,,,,43.11762237548828,,,,,,,,,,,XOM
2009-03-31,,4550000000.0,,,,,,,24972000000.0,,,,,8910000000.0,4237000000.0,4673000000.0,,,,,,,36.967369079589844,,,,,,,,,,,XOM
2009-06-30,,3950000000.0,,,224661000000.0,106592000000.0,59496000000.0,51614000000.0,15576000000.0,2157000000.0,,,,11107000000.0,869000000.0,10238000000.0,1.1527105049017707,,,,0.037057190033023116,0.017582045837951404,38.17637634277344,,,,,,,,,,,XOM
2009-09-30,,4730000000.0,,,229307000000.0,107265000000.0,57324000000.0,52933000000.0,12472000000.0,2418000000.0,,,,19934000000.0,4206000000.0,15728000000.0,1.0829539228836453,,,,0.04409639677434391,0.020627368549586363,37.695335388183594,,,,,,,,,,,XOM
2009-12-31,,,,,233323000000.0,110569000000.0,55235000000.0,52061000000.0,10693000000.0,2476000000.0,,,,,,,1.0609669426249977,,,,,,37.6826171875,,,,,,,,,,,XOM
2010-03-31,,6300000000.0,,,242748000000.0,112541000000.0,61696000000.0,57744000000.0,13742000000.0,2396000000.0,,,,13046000000.0,7290000000.0,5756000000.0,1.0684400110834027,,,,0.05597959854630757,0.025952839982203768,37.25543975830078,,,,,,,,,,,XOM
2010-06-30,,7560000000.0,,,291068000000.0,140172000000.0,62216000000.0,57821000000.0,13252000000.0,2946000000.0,,,,22281000000.0,10881000000.0,11400000000.0,1.0760104460317186,,,,0.053933738549781694,0.02597331207827724,31.958890914916992,,,,,,,,,,,XOM
2010-09-30,,7350000000.0,,,299994000000.0,145031000000.0,62633000000.0,61740000000.0,12244000000.0,3046000000.0,,,,35358000000.0,16157000000.0,19201000000.0,1.0144638807904114,,,,0.05067882039012349,0.024500490009800195,34.84967041015625,,,,,,,,,,,XOM
2010-12-31,,,,,302510000000.0,146839000000.0,58984000000.0,62633000000.0,7825000000.0,2787000000.0,,,,,,,0.9417399773282455,,,,,,41.49947738647461,,,,,,,,,,,XOM
2011-03-31,,10650000000.0,,,319533000000.0,151480000000.0,72022000000.0,73576000000.0,12833000000.0,3560000000.0,,,,16856000000.0,9805000000.0,7051000000.0,0.9788789822768293,,,,0.07030631106416689,0.033329890809399965,47.999881744384766,,,,,,,,,,,XOM
2011-06-30,,10680000000.0,,,326204000000.0,155551000000.0,72305000000.0,74533000000.0,8287000000.0,4365000000.0,,,,29745000000.0,14882000000.0,14863000000.0,0.970107200837213,,,,0.06865915358949798,0.03274024843349561,46.69422912597656,,,,,,,,,,,XOM
2011-09-30,,10330000000.0,,,323227000000.0,155939000000.0,69376000000.0,74971000000.0,11022000000.0,7431000000.0,,,,44594000000.0,22253000000.0,22341000000.0,0.9253711435088234,,,,0.06624385176254817,0.03195896382418548,41.94886016845703,,,,,,,,,,,XOM
2011-12-31,,,,,331052000000.0,154396000000.0,72963000000.0,77505000000.0,12664000000.0,7711000000.0,,,,,,,0.9413973292045674,,,,,,49.2464485168457,,,,,,,,,,,XOM
2012-03-31,,9450000000.0,,,345152000000.0,157012000000.0,76160000000.0,79994000000.0,18670000000.0,6419000000.0,,,,19287000000.0,11444000000.0,7843000000.0,0.9520714053554017,,,,0.060186482561842405,0.027379241609493787,50.66684341430664,,,,,,,,,,,XOM
2012-06-01,,,,,,-256000000.0,,,,,,,,,,,,,,,,,45.83372116088867,,,,,,,,,,,XOM
2012-06-30,,15910000000.0,,,329645000000.0,162811000000.0,72797000000.0,70136000000.0,17802000000.0,6704000000.0,,,,29504000000.0,13316000000.0,16188000000.0,1.0379405726018023,,,,0.09772066997930115,0.048264041620531176,50.333560943603516,,,,,,,,,,,XOM
2012-09-30,,9570000000.0,,,335191000000.0,166713000000.0,72138000000.0,70061000000.0,13055000000.0,3496000000.0,,,,42946000000.0,18732000000.0,24214000000.0,1.0296455945533178,,,,0.057404041676413955,0.02855088591280792,54.141849517822266,,,,,,,,,,,XOM
2012-12-31,,,,,333795000000.0,165863000000.0,64460000000.0,64139000000.0,9582000000.0,3653000000.0,7497000000.0,,,,,,1.005004755297089,,,,,,51.56170654296875,,,,,,,,,,,XOM
