observation_date,REQRESNS
2000-01-01,42.215
2000-02-01,40.984
2000-03-01,38.541
2000-04-01,39.443
2000-05-01,40.613
2000-06-01,38.246
2000-07-01,38.74
2000-08-01,38.442
2000-09-01,38.043
2000-10-01,37.619
2000-11-01,37.475
2000-12-01,37.045
2001-01-01,38.346
2001-02-01,37.8
2001-03-01,36.324
2001-04-01,37.312
2001-05-01,38.355
2001-06-01,36.855
2001-07-01,37.928
2001-08-01,38.459
2001-09-01,38.553
2001-10-01,43.306
2001-11-01,38.619
2001-12-01,39.407
2002-01-01,42.316
2002-02-01,41.119
2002-03-01,38.911
2002-04-01,39.729
2002-05-01,39.03
2002-06-01,37.378
2002-07-01,38.039
2002-08-01,38.23
2002-09-01,37.378
2002-10-01,37.137
2002-11-01,37.575
2002-12-01,38.263
2003-01-01,41.159
2003-02-01,39.97
2003-03-01,38.961
2003-04-01,39.634
2003-05-01,40.164
2003-06-01,39.979
2003-07-01,41.658
2003-08-01,42.338
2003-09-01,42.927
2003-10-01,41.653
2003-11-01,41.162
2003-12-01,41.906
2004-01-01,44.574
2004-02-01,42.674
2004-03-01,42.372
2004-04-01,44.258
2004-05-01,44.651
2004-06-01,43.787
2004-07-01,45.055
2004-08-01,44.259
2004-09-01,44.845
2004-10-01,43.91
2004-11-01,43.847
2004-12-01,44.938
2005-01-01,48.699
2005-02-01,45.127
2005-03-01,44.142
2005-04-01,44.879
2005-05-01,44.801
2005-06-01,44.226
2005-07-01,45.288
2005-08-01,43.871
2005-09-01,44.128
2005-10-01,42.872
2005-11-01,42.886
2005-12-01,43.483
2006-01-01,45.573
2006-02-01,43.062
2006-03-01,41.216
2006-04-01,42.905
2006-05-01,43.706
2006-06-01,43.334
2006-07-01,43.371
2006-08-01,41.191
2006-09-01,40.876
2006-10-01,40.021
2006-11-01,40.46
2006-12-01,41.419
2007-01-01,43.061
2007-02-01,41.129
2007-03-01,39.053
2007-04-01,40.911
2007-05-01,42.619
2007-06-01,42.112
2007-07-01,41.276
2007-08-01,40.102
2007-09-01,40.934
2007-10-01,40.591
2007-11-01,40.905
2007-12-01,41.678
2008-01-01,43.243
2008-02-01,42.208
2008-03-01,41.129
2008-04-01,43.298
2008-05-01,45.036
2008-06-01,43.584
2008-07-01,44.065
2008-08-01,43.915
2008-09-01,43.411
2008-10-01,47.642
2008-11-01,50.327
2008-12-01,53.558
2009-01-01,63.401
2009-02-01,58.889
2009-03-01,55.026
2009-04-01,59.14
2009-05-01,60.662
2009-06-01,60.334
2009-07-01,64.297
2009-08-01,63.116
2009-09-01,62.708
2009-10-01,62.214
2009-11-01,64.587
2009-12-01,65.25
2010-01-01,66.575
2010-02-01,63.63
2010-03-01,64.122
2010-04-01,67.232
2010-05-01,66.555
2010-06-01,64.278
2010-07-01,66.106
2010-08-01,65.494
2010-09-01,67.033
2010-10-01,66.08
2010-11-01,67.07
2010-12-01,71.365
2011-01-01,73.883
2011-02-01,73.7
2011-03-01,72.735
2011-04-01,76.041
2011-05-01,77.321
2011-06-01,77.103
2011-07-01,78.442
2011-08-01,83.212
2011-09-01,92.478
2011-10-01,93.782
2011-11-01,94.644
2011-12-01,96.51
2012-01-01,99.741
2012-02-01,99.803
2012-03-01,96.752
2012-04-01,100.528
2012-05-01,101.046
2012-06-01,97.905
2012-07-01,100.721
2012-08-01,104.445
2012-09-01,108.069
2012-10-01,107.311
2012-11-01,110.806
2012-12-01,111.634
2013-01-01,117.475
2013-02-01,116.606
2013-03-01,113.147
2013-04-01,115.856
2013-05-01,118.638
2013-06-01,115.97
2013-07-01,116.776
2013-08-01,118.764
2013-09-01,119.978
2013-10-01,119.552
2013-11-01,124.523
2013-12-01,124.801
2014-01-01,134.149
2014-02-01,133.568
2014-03-01,132.145
2014-04-01,134.734
2014-05-01,136.11
2014-06-01,135.357
2014-07-01,139.609
2014-08-01,142.072
2014-09-01,137.094
2014-10-01,139.675
2014-11-01,141.945
2014-12-01,142.007
2015-01-01,152.397
2015-02-01,148.321
2015-03-01,149.155
2015-04-01,150.249
2015-05-01,149.733
2015-06-01,145.873
2015-07-01,150.292
2015-08-01,153.937
2015-09-01,149.298
2015-10-01,147.389
2015-11-01,147.809
2015-12-01,150.727
2016-01-01,160.411
2016-02-01,152.731
2016-03-01,152.09
2016-04-01,156.515
2016-05-01,160.85
2016-06-01,160.129
2016-07-01,163.527
2016-08-01,164.182
2016-09-01,167.612
2016-10-01,166.622
2016-11-01,168.699
2016-12-01,170.224
2017-01-01,176.249
2017-02-01,173.208
2017-03-01,169.699
2017-04-01,176.616
2017-05-01,178.63
2017-06-01,181.324
2017-07-01,184.242
2017-08-01,183.249
2017-09-01,184.248
2017-10-01,182.074
2017-11-01,186.968
2017-12-01,189.269
2018-01-01,193.209
2018-02-01,190.487
2018-03-01,184.151
2018-04-01,191.27
2018-05-01,192.267
2018-06-01,190.028
2018-07-01,190.529
2018-08-01,188.549
2018-09-01,190.901
2018-10-01,189.602
2018-11-01,192.074
2018-12-01,192.165
2019-01-01,199.356
2019-02-01,193.579
2019-03-01,193.064
2019-04-01,194.575
2019-05-01,199.742
2019-06-01,200.36
2019-07-01,200.169
2019-08-01,200.608
2019-09-01,199.741
2019-10-01,200.621
2019-11-01,206.586
2019-12-01,207.239
2020-01-01,214.652
2020-02-01,208.324
2020-03-01,167.36
2020-04-01,0.0
2020-05-01,0.0
2020-06-01,0.0
2020-07-01,0.0
2020-08-01,0.0
