observation_date,SPPOPGROWUSA
2000-01-01,1.11276899679534
2001-01-01,0.989741382223669
2002-01-01,0.927797485710314
2003-01-01,0.859481712840946
2004-01-01,0.925483968943482
2005-01-01,0.921713167161207
2006-01-01,0.964253917136075
2007-01-01,0.951055242772428
2008-01-01,0.945865287282592
2009-01-01,0.876651298802912
2010-01-01,0.846129865832117
2011-01-01,0.79239433316435
2012-01-01,0.79838290137163
2013-01-01,0.756560083436754
2014-01-01,0.796023797809134
2015-01-01,0.797904713382564
2016-01-01,0.785625485688815
2017-01-01,0.692906252591617
2018-01-01,0.586433075122573
2019-01-01,0.515108555014533
2020-01-01,0.408427566758519
2021-01-01,0.157317408951545
2022-01-01,0.575744520494521
2023-01-01,0.83149318773707
2024-01-01,0.976421684505429
